timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8
47840602460,30776,4,4,4,4,4,4,4,4
47840638759,30777,4,4,4,4,4,4,4,4
47840660007,30778,4,4,4,4,4,4,4,4
47840697471,30779,4,4,4,4,4,4,4,4
47840726307,30780,4,4,4,4,4,4,4,4
47840763777,30781,4,4,4,4,4,4,4,4
47840801189,30782,4,4,4,4,4,4,4,4
47840824048,30783,4,4,4,4,4,4,4,4
47840852398,30784,4,4,4,4,4,4,4,4
47840878774,30785,4,4,4,4,4,4,4,4
47840911455,30786,4,4,4,4,4,4,4,4
47840942592,30787,4,4,4,4,4,4,4,4
47840970031,30788,4,4,4,4,4,4,4,4
47841009974,30789,4,4,4,4,4,4,4,4
47841041165,30790,4,4,4,4,4,4,4,4
47841082423,30791,4,4,4,4,4,4,4,4
47841098684,30792,4,4,4,4,4,4,4,4
47841138677,30793,4,4,4,4,4,4,4,4
47841167473,30794,4,4,4,4,4,4,4,4
47841192481,30795,4,4,4,4,4,4,4,4
47841221216,30796,4,4,4,4,4,4,4,4
47841256429,30797,4,4,4,4,4,4,4,4
47841291206,30798,4,4,4,4,4,4,4,4
47841317608,30799,4,4,4,4,4,4,4,4
47841347577,30800,4,4,4,4,4,4,4,4
47841377655,30801,4,4,4,4,4,4,4,4
47841432432,30802,4,4,4,4,4,4,4,4
47841449975,30803,4,4,4,4,4,4,4,4
47841471242,30804,4,4,4,4,4,4,4,4
47841527336,30805,4,4,4,4,4,4,4,4
47841539973,30806,4,4,4,4,4,4,4,4
47841566232,30807,4,4,4,4,4,4,4,4
47841603706,30808,4,4,4,4,4,4,4,4
47841631200,30809,4,4,4,4,4,4,4,4
47841662548,30810,4,4,4,4,4,4,4,4
47841693734,30811,4,4,4,4,4,4,4,4
47841720059,30812,4,4,4,4,4,4,4,4
47841753758,30813,4,4,4,4,4,4,4,4
47841789925,30814,4,4,4,4,4,4,4,4
47841821206,30815,4,4,4,4,4,4,4,4
47841848697,30816,4,4,4,4,4,4,4,4
47841879937,30817,4,4,4,4,4,4,4,4
47841921268,30818,4,4,4,4,4,4,4,4
47841961203,30819,4,4,4,4,4,4,4,4
47841971232,30820,4,4,4,4,4,4,4,4
