timestamp,sequence,battery,flags,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6,IMU_B-ch7,IMU_B-ch8,IMU_B-ch9
47840602460,30776,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
47840638759,30777,-2,0,9.0104492188,1.7250488281,-3.1605957031,-0.3048780488,-0.2743902439,-0.2134146341,110.3977920442,-103.1979360413,-76.7984640307
47840660007,30778,-2,0,9.0989746094,1.8183593750,-3.3520019531,-0.0914634146,0.3353658537,0.2743902439,110.3977920442,-103.1979360413,-76.7984640307
47840697471,30779,-2,0,9.0989746094,1.8183593750,-3.3520019531,-0.0914634146,0.3353658537,0.2743902439,110.3977920442,-103.1979360413,-76.7984640307
47840726307,30780,-2,0,9.0965820313,1.8542480469,-3.3232910156,0.4268292683,0.7012195122,0.3353658537,110.3977920442,-103.1979360413,-76.7984640307
47840763777,30781,-2,0,9.1420410156,1.7896484375,-3.3400390625,-0.1829268293,0.4268292683,0.3353658537,109.1978160437,-98.3980320394,-83.9983200336
47840801189,30782,-2,0,9.1444335938,1.7370117188,-3.3185058594,-0.1829268293,0.4268292683,0.8841463415,109.1978160437,-98.3980320394,-83.9983200336
47840824048,30783,-2,0,9.1587890625,1.9116699219,-3.3615722656,0.5182926829,1.0365853659,1.6768292683,109.1978160437,-98.3980320394,-83.9983200336
47840852398,30784,-2,0,9.1444335938,1.8183593750,-3.3496093750,-1.0975609756,0.9756097561,0.4573170732,109.1978160437,-98.3980320394,-83.9983200336
47840878774,30785,-2,0,9.1324707031,1.7465820313,-3.3113281250,-1.4634146341,0.9756097561,0.0914634146,109.7978040439,-98.9980200396,-79.7984040319
47840911455,30786,-2,0,9.0822265625,1.8231445313,-3.2969726563,-0.2743902439,1.0670731707,0.8231707317,109.7978040439,-98.9980200396,-79.7984040319
47840942592,30787,-2,0,9.0894042969,1.7226562500,-3.3352539063,-0.0609756098,0.7621951220,0.7012195122,109.7978040439,-98.9980200396,-79.7984040319
47840970031,30788,-2,0,9.1875000000,1.8494628906,-3.3161132813,1.2500000000,0.6097560976,1.1280487805,109.7978040439,-98.9980200396,-79.7984040319
47841009974,30789,-2,0,9.1348632813,1.7705078125,-3.3496093750,0.5487804878,1.1890243902,0.7926829268,113.3977320454,-97.7980440391,-76.1984760305
47841041165,30790,-2,0,9.1396484375,1.8111816406,-3.2778320313,0.8841463415,1.2500000000,1.1890243902,113.3977320454,-97.7980440391,-76.1984760305
47841082423,30791,-2,0,9.1085449219,1.8279296875,-3.3376464844,0.8231707317,1.1890243902,0.7012195122,113.3977320454,-97.7980440391,-76.1984760305
47841098684,30792,-2,0,9.1229003906,1.7609375000,-3.3400390625,0.3963414634,0.8231707317,0.6402439024,113.3977320454,-97.7980440391,-76.1984760305
47841138677,30793,-2,0,9.1540039063,1.7992187500,-3.3208984375,1.0060975610,0.7621951220,1.1585365854,106.7978640427,-103.1979360413,-77.9984400312
47841167473,30794,-2,0,9.1013671875,1.7657226563,-3.3496093750,0.7621951220,1.0365853659,0.8841463415,106.7978640427,-103.1979360413,-77.9984400312
47841192481,30795,-2,0,9.1803222656,1.8255371094,-3.3496093750,0.9146341463,0.7926829268,0.6402439024,106.7978640427,-103.1979360413,-77.9984400312
47841221216,30796,-2,0,9.1181152344,1.7681152344,-3.3400390625,0.2743902439,1.2195121951,0.4573170732,106.7978640427,-103.1979360413,-77.9984400312
47841256429,30797,-2,0,9.1324707031,1.7729003906,-3.3232910156,0.5182926829,1.0975609756,0.6402439024,106.1978760425,-101.3979720406,-76.1984760305
